model,zone,resource_name,tech_type,unit,planning_year,case,start_value,end_value
USENSYS,PJME,PJME_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,4003
USENSYS,PJME,PJME_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,4002,20324
USENSYS,PJME,PJME_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,10
USENSYS,PJME,PJME_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,579
USENSYS,PJME,PJME_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,1853
USENSYS,PJME,PJME_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,1004
USENSYS,PJME,PJME_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-foresight,0,1256
USENSYS,PJME,PJME_landbasedwind_class3_moderate_4,Wind,MW,2030,26z-debug-foresight,0,2152
USENSYS,PJME,PJME_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug-foresight,0,171
USENSYS,PJME,PJME_offshorewind_class3_moderate_fixed_1_1,Wind,MW,2040,26z-debug-foresight,0,4214
USENSYS,PJME,PJME_utilitypv_class1_moderate_0,Solar,MW,2050,26z-debug-foresight,0,21936
USENSYS,PJME,PJME_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,0,10150
USENSYS,PJME,PJME_utilitypv_class1_moderate_2,Solar,MW,2040,26z-debug-foresight,0,34822
USENSYS,PJME,PJME_utilitypv_class1_moderate_2,Solar,MW,2050,26z-debug-foresight,34822,46212
USENSYS,PJME,PJME_utilitypv_class1_moderate_3,Solar,MW,2040,26z-debug-foresight,0,9444
USENSYS,PJME,PJME_utilitypv_class1_moderate_4,Solar,MW,2030,26z-debug-foresight,0,43446
USENSYS,PJME,PJME_utilitypv_class1_moderate_4,Solar,MW,2040,26z-debug-foresight,43445,52185
USENSYS,PJME,PJME_utilitypv_class1_moderate_5,Solar,MW,2030,26z-debug-foresight,0,3413
USENSYS,PJMW,PJMW_battery_moderate_0,Battery,MW,2050,26z-debug-foresight,0,1
USENSYS,PJMW,PJMW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2040,26z-debug-foresight,0,3761
USENSYS,PJMW,PJMW_hydrogen_ccavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,3760,22202
USENSYS,PJMW,PJMW_hydrogen_ctavgcf_moderate_0,Hydrogen,MW,2050,26z-debug-foresight,0,5828
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_0,Wind,MW,2030,26z-debug-foresight,0,6749
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_1,Wind,MW,2030,26z-debug-foresight,0,2617
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_2,Wind,MW,2030,26z-debug-foresight,0,5803
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_3,Wind,MW,2030,26z-debug-foresight,0,5341
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_5,Wind,MW,2030,26z-debug-foresight,0,45
USENSYS,PJMW,PJMW_landbasedwind_class3_moderate_5,Wind,MW,2040,26z-debug-foresight,45,662
USENSYS,PJMW,PJMW_naturalgas_ccccsavgcf_conservative_0,CCS,MW,2030,26z-debug-foresight,0,889
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,MW,2030,26z-debug-foresight,0,24229
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,MW,2040,26z-debug-foresight,24229,73643
USENSYS,PJMW,PJMW_utilitypv_class1_moderate_1,Solar,MW,2050,26z-debug-foresight,73643,89547
