case,value,model,zone,resource_name,tech_type,planning_year,timestep,unit
single_zone,1426095.6163177541,SWITCH,Eastern,Eastern_batteries_1,Battery,2040,all,MWh
cap_only,0.0,SWITCH,Eastern,Eastern_battery_moderate_0,Battery,2040,all,MWh
greenfield,37803335.99520497,SWITCH,Eastern,Eastern_battery_moderate_0,Battery,2040,all,MWh
no_tx,2434195.447252254,SWITCH,Eastern,Eastern_battery_moderate_0,Battery,2040,all,MWh
single_zone,0.0,SWITCH,Eastern,Eastern_battery_moderate_0,Battery,2040,all,MWh
existing_only,1884013166.9715106,SWITCH,Eastern,Eastern_coal_ccs90avgcf_moderate_1,CCS,2040,all,MWh
cap_only,86146622.97923571,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
existing_only,86146622.9792364,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_battery,86146622.97923559,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_tx,86146622.97923568,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
no_tx_battery,86146622.97923562,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
single_zone,86146622.97923563,SWITCH,Eastern,Eastern_conventional_hydroelectric_1,Hydro,2040,all,MWh
cap_only,89511075.41144669,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
existing_only,0.0,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
no_battery,87968458.56382945,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx,66665065.97275871,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx_battery,61320012.91284017,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
no_tx_battery_hydro,57352990.56825938,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
single_zone,132422752.13863848,SWITCH,Eastern,Eastern_conventional_steam_coal_1,Coal,2040,all,MWh
cap_only,29601321.2708224,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
existing_only,5391843.027351449,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
no_battery,28861140.36416743,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
no_tx,29589723.79960239,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
no_tx_battery,28662862.072541554,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
single_zone,15740915.453456823,SWITCH,Eastern,Eastern_hydroelectric_pumped_storage_1,Hydro,2040,all,MWh
cap_only,203929933.1302519,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
greenfield,521266219.0763056,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_battery,154531191.50454414,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx,170094770.09019175,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx_battery,168222146.77520347,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
no_tx_battery_hydro,227492029.09028757,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
single_zone,311819196.06151354,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_1,Wind,2040,all,MWh
cap_only,565705436.716869,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
greenfield,563930966.2384171,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_battery,562286692.0303452,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx,565705436.716869,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx_battery,565704995.6315826,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
no_tx_battery_hydro,565705436.716869,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
single_zone,565705436.716869,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_2,Wind,2040,all,MWh
cap_only,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
greenfield,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_battery,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx_battery,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
no_tx_battery_hydro,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
single_zone,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_3,Wind,2040,all,MWh
cap_only,480768718.0040854,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
greenfield,491338034.85290813,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_battery,513497391.97261935,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx,513417938.50176066,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx_battery,512894308.0442593,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
no_tx_battery_hydro,511600090.57355165,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
single_zone,0.0,SWITCH,Eastern,Eastern_landbasedwind_class3_moderate_4,Wind,2040,all,MWh
