GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
Eastern_conventional_hydroelectric_1,2000,0,0,.,0
Eastern_conventional_hydroelectric_1,2001,0,0,.,0
Eastern_conventional_hydroelectric_1,2002,0,0,.,0
Eastern_conventional_hydroelectric_1,2003,0,0,.,0
Eastern_conventional_hydroelectric_1,2004,0,0,.,0
Eastern_conventional_hydroelectric_1,2005,0,0,.,0
Eastern_conventional_hydroelectric_1,2006,0,0,.,0
Eastern_conventional_hydroelectric_1,2007,0,0,.,0
Eastern_conventional_hydroelectric_1,2008,0,0,.,0
Eastern_conventional_hydroelectric_1,2009,0,0,.,0
Eastern_conventional_hydroelectric_1,2011,0,0,.,0
Eastern_conventional_hydroelectric_1,2012,0,0,.,0
Eastern_conventional_hydroelectric_1,2013,0,0,.,0
Eastern_conventional_hydroelectric_1,2014,0,0,.,0
Eastern_conventional_hydroelectric_1,2016,0,0,.,0
Eastern_conventional_hydroelectric_1,2017,0,0,.,0
Eastern_conventional_hydroelectric_1,2019,0,0,.,0
Eastern_conventional_hydroelectric_1,2021,0,0,.,0
Eastern_conventional_hydroelectric_1,2022,0,0,.,0
Eastern_conventional_hydroelectric_1,2023,0,0,.,0
Eastern_conventional_hydroelectric_1,2024,0,0,.,0
Eastern_conventional_hydroelectric_1,2025,0,0,.,0
Eastern_conventional_hydroelectric_1,2026,0,0,.,0
Eastern_conventional_steam_coal_1,1930,0,0,.,0
Eastern_conventional_steam_coal_1,1936,0,0,.,0
Eastern_conventional_steam_coal_1,1939,0,0,.,0
Eastern_conventional_steam_coal_1,1941,0,0,.,0
Eastern_conventional_steam_coal_1,1946,0,0,.,0
Eastern_conventional_steam_coal_1,1948,0,0,.,0
Eastern_conventional_steam_coal_1,1949,0,0,.,0
Eastern_conventional_steam_coal_1,1950,0,0,.,0
Eastern_conventional_steam_coal_1,1951,0,0,.,0
Eastern_conventional_steam_coal_1,1952,0,0,.,0
Eastern_conventional_steam_coal_1,1953,0,0,.,0
Eastern_conventional_steam_coal_1,1954,0,0,.,0
Eastern_conventional_steam_coal_1,1955,0,0,.,0
Eastern_conventional_steam_coal_1,1956,0,0,.,0
Eastern_conventional_steam_coal_1,1957,0,0,.,0
Eastern_conventional_steam_coal_1,1958,0,0,.,0
Eastern_conventional_steam_coal_1,1959,0,0,.,0
Eastern_conventional_steam_coal_1,1960,0,0,.,0
Eastern_conventional_steam_coal_1,1961,0,0,.,0
Eastern_conventional_steam_coal_1,1962,0,0,.,0
Eastern_conventional_steam_coal_1,1963,0,0,.,0
Eastern_conventional_steam_coal_1,1964,0,0,.,0
Eastern_conventional_steam_coal_1,1965,0,0,.,0
Eastern_conventional_steam_coal_1,1966,0,0,.,0
Eastern_conventional_steam_coal_1,1967,0,0,.,0
Eastern_conventional_steam_coal_1,1968,0,0,.,0
Eastern_conventional_steam_coal_1,1969,0,0,.,0
Eastern_conventional_steam_coal_1,1970,0,0,.,0
Eastern_conventional_steam_coal_1,1971,0,0,.,0
Eastern_conventional_steam_coal_1,1972,0,0,.,0
Eastern_conventional_steam_coal_1,1973,0,0,.,0
Eastern_conventional_steam_coal_1,1974,0,0,.,0
Eastern_conventional_steam_coal_1,1975,0,0,.,0
Eastern_conventional_steam_coal_1,1976,0,0,.,0
Eastern_conventional_steam_coal_1,1977,0,0,.,0
Eastern_conventional_steam_coal_1,1978,0,0,.,0
Eastern_conventional_steam_coal_1,1979,0,0,.,0
Eastern_conventional_steam_coal_1,1980,0,0,.,0
Eastern_conventional_steam_coal_1,1981,0,0,.,0
Eastern_conventional_steam_coal_1,1982,0,0,.,0
Eastern_conventional_steam_coal_1,1983,0,0,.,0
Eastern_conventional_steam_coal_1,1984,0,0,.,0
Eastern_conventional_steam_coal_1,1985,0,0,.,0
Eastern_conventional_steam_coal_1,1986,0,0,.,0
Eastern_conventional_steam_coal_1,1987,0,0,.,0
Eastern_conventional_steam_coal_1,1988,0,0,.,0
Eastern_conventional_steam_coal_1,1989,0,0,.,0
Eastern_conventional_steam_coal_1,1990,0,0,.,0
Eastern_conventional_steam_coal_1,1991,0,0,.,0
Eastern_conventional_steam_coal_1,1992,0,0,.,0
Eastern_conventional_steam_coal_1,1993,0,0,.,0
Eastern_conventional_steam_coal_1,1994,0,0,.,0
Eastern_conventional_steam_coal_1,1995,0,0,.,0
Eastern_conventional_steam_coal_1,1996,0,0,.,0
Eastern_conventional_steam_coal_1,1997,0,0,.,0
Eastern_conventional_steam_coal_1,1998,0,0,.,0
Eastern_conventional_steam_coal_1,1999,0,0,.,0
Eastern_conventional_steam_coal_1,2000,0,0,.,0
Eastern_conventional_steam_coal_1,2001,0,0,.,0
Eastern_conventional_steam_coal_1,2004,0,0,.,0
Eastern_conventional_steam_coal_1,2005,0,0,.,0
Eastern_conventional_steam_coal_1,2007,0,0,.,0
Eastern_conventional_steam_coal_1,2008,0,0,.,0
Eastern_conventional_steam_coal_1,2009,0,0,.,0
Eastern_conventional_steam_coal_1,2010,0,0,.,0
Eastern_conventional_steam_coal_1,2011,0,0,.,0
Eastern_conventional_steam_coal_1,2012,0,0,.,0
Eastern_hydroelectric_pumped_storage_1,1928,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1929,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1956,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1961,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1962,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1963,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1965,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1966,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1967,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1968,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1970,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1971,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1972,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1973,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1974,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1975,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1977,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1978,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1979,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1980,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1981,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1982,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1984,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1985,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1991,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,1995,0,0,0,0
Eastern_hydroelectric_pumped_storage_1,2002,0,0,0,0
Eastern_landbasedwind_class3_moderate_1,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_2,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_3,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_4,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_5,2050,1022703.171,34422,.,0
Eastern_landbasedwind_class3_moderate_6,2050,1022703.171,34422,.,0
