timepoint_id,tp_to_hts
672,2050_p48
673,2050_p11
674,2050_p11
675,2050_p11
676,2050_p11
677,2050_p11
678,2050_p11
679,2050_p11
680,2050_p11
681,2050_p11
682,2050_p11
683,2050_p11
684,2050_p11
685,2050_p11
686,2050_p11
687,2050_p11
688,2050_p11
689,2050_p11
690,2050_p11
691,2050_p11
692,2050_p11
693,2050_p11
694,2050_p11
695,2050_p11
696,2050_p11
697,2050_p11
698,2050_p11
699,2050_p11
700,2050_p11
701,2050_p11
702,2050_p11
703,2050_p11
704,2050_p11
705,2050_p11
706,2050_p11
707,2050_p11
708,2050_p11
709,2050_p11
710,2050_p11
711,2050_p11
712,2050_p11
713,2050_p11
714,2050_p11
715,2050_p11
716,2050_p11
717,2050_p11
718,2050_p11
719,2050_p11
720,2050_p11
721,2050_p11
722,2050_p11
723,2050_p11
724,2050_p11
725,2050_p11
726,2050_p11
727,2050_p11
728,2050_p11
729,2050_p11
730,2050_p11
731,2050_p11
732,2050_p11
733,2050_p11
734,2050_p11
735,2050_p11
736,2050_p11
737,2050_p11
738,2050_p11
739,2050_p11
740,2050_p11
741,2050_p11
742,2050_p11
743,2050_p11
744,2050_p11
745,2050_p11
746,2050_p11
747,2050_p11
748,2050_p11
749,2050_p11
750,2050_p11
751,2050_p11
752,2050_p11
753,2050_p11
754,2050_p11
755,2050_p11
756,2050_p11
757,2050_p11
758,2050_p11
759,2050_p11
760,2050_p11
761,2050_p11
762,2050_p11
763,2050_p11
764,2050_p11
